"","ProbeName","geneSymbol","LocusLinkID","moduleColor","GS.Treatment","p.GS.Treatment","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.brown","p.MM.brown"
"CUST_9588_PI428634872","CUST_9588_PI428634872","S_alt_contig03205_RC","AT1G49760","blue",-0.587742390287632,0.010315061220706,-0.297093088156973,0.231213923433386,0.715462738345806,0.000843154968168198,0.293647387000434,0.23692845946323
"CUST_4458_PI428634872","CUST_4458_PI428634872","S_5sp_contig41069","AT4G10130","blue",-0.587486716802855,0.0103564843815646,-0.627885414727603,0.00527065184565318,0.676391860185255,0.00205488078859304,0.383720168812414,0.115952867637594
"CUST_11673_PI428634872","CUST_11673_PI428634872","S_alt_contig06765_RC",NA,"blue",-0.587375815857148,0.0103744935047357,-0.486464579038893,0.0406450031417417,0.664160271679466,0.00264627500469014,0.419749473850278,0.0828927591191723
"CUST_9688_PI428634872","CUST_9688_PI428634872","S_alt_contig03327","AT2G01190","blue",0.586855362994895,0.0104593450697202,0.279231312727799,0.261806216839484,-0.758108276651051,0.000266836521939132,-0.235723280456498,0.346369361761098
"CUST_12850_PI428634872","CUST_12850_PI428634872","S_alt_contig08899_RC","AT1G48880","blue",0.586532226668121,0.010512306528519,0.678517805597893,0.0019642074197769,-0.56201788114356,0.0152028097746326,-0.422536183586334,0.0806603275724932
"CUST_2369_PI428634872","CUST_2369_PI428634872","S_5sp_contig31605","AT5G44720","blue",0.586206656647576,0.010565883959304,0.319100146650879,0.19680963709913,-0.704261270737115,0.00110387211357331,-0.348142636184674,0.156847524555714
"CUST_2625_PI428634872","CUST_2625_PI428634872","S_5sp_contig32762_RC","AT4G38160","blue",-0.586031577490326,0.0105947861840788,-0.625076756008425,0.00554022155769305,0.733099956542864,0.000537526669175042,0.411732183666704,0.0895669856538689
"CUST_3848_PI428634872","CUST_3848_PI428634872","S_5sp_contig39818_RC","AT4G27940","blue",-0.585516432327609,0.0106801943260326,-0.250458033013615,0.316143845811753,0.638360827475723,0.00435761015544818,0.251382803329672,0.314300716014528
"CUST_11973_PI428634872","CUST_11973_PI428634872","S_alt_contig07303","AT3G01380","blue",0.585469936119897,0.0106879301846621,0.378891819632971,0.121003957567052,-0.709399271759077,0.000977011804914153,-0.144650181638279,0.566870637515179
"CUST_12979_PI428634872","CUST_12979_PI428634872","S_alt_contig09135_RC","AT3G05320","blue",-0.585451839128058,0.010690942304949,-0.300649252043688,0.225409644068254,0.618092222137902,0.00625941814271698,0.356815733709515,0.14608043370949
"CUST_7374_PI428634872","CUST_7374_PI428634872","S_alt_contig00263","AT5G05660","blue",0.584434610058141,0.0108613495172343,0.545394804260307,0.0192326888948279,-0.646887449884288,0.00371362928611037,-0.477298639553819,0.0451757111621953
"CUST_10397_PI428634872","CUST_10397_PI428634872","S_alt_contig04280","AT5G55760","blue",0.583361720865112,0.011043430244035,0.619223227737562,0.00613808580155356,-0.707735046923209,0.00101669805329392,-0.440812007758112,0.0670969257679274
"CUST_15202_PI428634872","CUST_15202_PI428634872","S_alt_contig12787","AT1G75140","blue",0.583028860962892,0.011100413865421,0.319173679574107,0.196700706957093,-0.784951875437597,0.000114165182610078,-0.262909625719953,0.29186464991525
"CUST_14491_PI428634872","CUST_14491_PI428634872","S_alt_contig11609_RC","AT1G13980","blue",0.580005749509296,0.011628799342457,0.416774227567309,0.0853257107823736,-0.577180621651703,0.0121405689220136,-0.378830427509387,0.121069164823836
"CUST_10646_PI428634872","CUST_10646_PI428634872","S_alt_contig04721","AT1G34750","blue",0.579275928462099,0.011759322659312,0.365920104893706,0.135338767940088,-0.670886674806641,0.00230585835567269,-0.391225622219605,0.108400848720546
"CUST_184_PI428634872","CUST_184_PI428634872","S_5sp_contig07876","AT1G17720","blue",0.578681455446421,0.0118665026817667,0.654626910075835,0.00319862637212618,-0.753018844101266,0.000309710549766343,-0.383634931804814,0.116040718690305
"CUST_10168_PI428634872","CUST_10168_PI428634872","S_alt_contig03960","AT5G11710","blue",-0.577254470920352,0.0121269662354249,-0.23963437051513,0.338189671335621,0.719043025091104,0.000771566702923986,0.290029973806432,0.243023836031642
