locus,30m,2h,4h,8h,24h
At2g15530,0.56,0.81,0.89,1.71,2.15
At1g22500,0.03,0.03,-0.56,0.88,0.55
At1g66180,-0.33,-0.48,-1.07,-0.40,-0.68
At1g69100,0.13,-0.04,-1.06,-1.21,-1.03
At1g11910,-0.08,-0.07,-0.06,-0.21,0.84
At3g50930,0.06,-0.14,0.34,-0.08,0.76
At3g13470,0.16,-0.06,0.36,-0.74,-0.08
At5g02490,0.00,-0.23,0.19,-0.11,1.16
At5g55230,0.11,-0.16,-0.25,-1.06,-0.30
At1g64740,0.09,-0.15,-0.06,-0.83,-0.61
At5g54710,-0.11,-0.16,0.51,-0.10,1.15
At1g13330,0.00,-0.09,0.69,0.36,1.55
At5g13120,0.11,-0.14,-0.08,-0.34,-0.67
At2g35980,0.56,1.72,1.96,1.81,2.34
At4g12420,0.10,-0.11,-0.93,-1.07,-0.60
At5g63420,0.12,-0.13,-0.15,-0.74,-0.11
At3g14770,0.05,0.47,-0.48,1.02,-0.15
At2g34355,0.04,0.26,0.24,1.07,0.48
At3g02380,-0.11,-0.60,-0.41,0.04,-1.15
At3g16690,-0.20,0.08,0.14,-0.18,-0.81
At5g14930,0.00,-0.14,-0.21,-0.15,0.98
At2g23810,-0.22,0.08,-0.11,0.45,1.15
At3g49530,0.09,0.35,0.29,0.48,1.28
At2g07671,-0.03,0.32,0.30,0.86,0.82
At1g80830,-0.02,-0.46,-0.93,-0.99,-0.75
At2g23150,-0.17,-0.16,0.01,0.59,1.69
At5g55930,0.08,-0.61,-0.72,-1.07,-0.09
At3g45700,-0.28,-0.42,0.27,-0.91,-0.93
At1g27080,-0.02,-0.20,-0.38,-0.13,0.88
At2g45960,-0.17,-0.11,-1.14,-0.77,-0.37
At2g37180,-0.16,-0.10,-0.82,-0.87,-0.82
At4g35100,0.01,0.10,-0.81,-0.67,-1.26
At1g66570,-0.16,0.28,0.08,0.73,0.46
At1g22710,-0.25,0.71,0.30,0.87,1.27
At5g15410,0.08,-0.16,-0.63,-0.78,-0.63
At2g36590,0.79,1.42,1.93,1.80,2.24
At1g61790,-0.21,-0.01,-0.13,0.74,0.64
At4g21120,-0.13,-0.13,-0.21,0.45,0.76
At5g15640,-0.11,0.29,0.29,1.19,0.49
At2g17500,-0.20,0.80,1.19,1.79,1.20
At1g76520,-0.04,0.11,0.35,0.87,0.66
At1g76530,0.06,0.13,0.30,0.90,0.88
At1g29310,0.04,0.12,0.22,0.06,0.68
At4g36640,0.02,-0.01,0.85,0.56,0.75
At3g51670,-0.05,0.32,0.64,0.18,1.15
At1g19100,-0.02,-0.25,-0.38,-0.69,0.12
At5g26290,-0.15,-0.87,-0.71,-1.50,-1.36
At4g36850,-0.13,-0.17,-1.17,0.30,-0.95
At5g48430,-0.21,-0.77,-1.12,0.67,1.47
